date,regime_label,prob_high_tpu,prob_nonhigh,p01_entry,p10_exit,tpu_level,log_tpu_z,log_vix_z,vix
2018-06-22,Non-High-TPU,1.4624306294708735e-07,0.9999998537569371,9.956981672901779e-05,0.0013837581088462928,124.34,-1.467605785457633,-0.8474308407741242,14.64
2018-06-25,Non-High-TPU,5.403241699423345e-10,0.9999999994596758,6.67711631351406e-05,0.0012141930679010228,193.51,-0.9707875634465541,-1.0487313025004257,13.77
2018-06-26,Non-High-TPU,1.5637938578677658e-11,0.9999999999843621,0.0002991471673917852,0.0019829610447260953,126.17,-1.4511947852901066,-0.29318984704091516,17.33
2018-06-27,Non-High-TPU,9.596072589753041e-14,0.9999999999999041,0.00017200421897484738,0.001654684540902873,56.89,-2.345864794891434,-0.5720259043651067,15.92
2018-06-28,Non-High-TPU,3.923056548442795e-12,0.9999999999960769,0.0003707749539925271,0.002127144709669346,91.95,-1.8065703299380782,-0.1850234773848872,17.91
2018-06-29,Non-High-TPU,3.1561251628865164e-10,0.9999999996843875,0.00024907907846528405,0.0018676775794949367,152.91,-1.2352869923936907,-0.3854807026051784,16.85
2018-07-02,Non-High-TPU,4.6699425756465034e-11,0.9999999999533006,0.0001843415725205138,0.0016926000604014922,125.16,-1.4602225593651237,-0.5371256757921158,16.09
2018-07-03,Non-High-TPU,2.3599658212980762e-11,0.9999999999764003,0.00015067017354479832,0.0015845467690402588,116.62,-1.5396040966818005,-0.6387433840165332,15.6
2018-07-05,Non-High-TPU,5.400008100010407e-08,0.999999945999919,0.00018810963198961385,0.0017038382690711589,438.94,-0.0508189894961164,-0.526931057062677,16.14
2018-07-06,Non-High-TPU,4.034145048426458e-10,0.9999999995965855,0.00011515064045522812,0.0014511547926479502,177.99,-1.0646922024212242,-0.7741898087217668,14.97
2018-07-09,Non-High-TPU,2.6730372769689856e-10,0.9999999997326963,5.509163490703308e-05,0.0011401639786355977,191.5,-0.9825157075901425,-1.1455908727324222,13.37
2018-07-10,Non-High-TPU,5.547084982697587e-12,0.9999999999944529,3.919422721551103e-05,0.0010199656858271566,123.14,-1.4784987438321915,-1.3171026860136166,12.69
2018-07-11,Non-High-TPU,5.477273531252636e-12,0.9999999999945227,3.819784703323589e-05,0.0010114074503282573,129.05,-1.4258436437466697,-1.330074368793562,12.64
2018-07-12,Non-High-TPU,2.2220541210427866e-11,0.9999999999777794,6.246576707827245e-05,0.0011880019861795258,154.01,-1.227235606232266,-1.0823083258880932,13.63
2018-07-13,Non-High-TPU,1.7334849106581252e-09,0.9999999982665151,3.7030575833226726e-05,0.0010011880466792291,296.38,-0.4919368812461608,-1.3457082903460749,12.58
