Date,XLK,XLI,XLY,XLF,XLV,XLE,XLB,XLRE,XLU,XLP,XLC
2018-06-20,,,,,,,,,,,
2018-06-21,,,,,,,,,,,
2018-06-22,,,,,,,,,,,
2018-06-25,,,,,,,,,,,
2018-06-26,,,,,,,,,,,
2018-06-27,,,,,,,,,,,
2018-06-28,,,,,,,,,,,
2018-06-29,,,,,,,,,,,
2018-07-02,,,,,,,,,,,
2018-07-03,,,,,,,,,,,
2018-07-05,,,,,,,,,,,
2018-07-06,,,,,,,,,,,
2018-07-09,,,,,,,,,,,
2018-07-10,,,,,,,,,,,
2018-07-11,,,,,,,,,,,
2018-07-12,,,,,,,,,,,
2018-07-13,,,,,,,,,,,
2018-07-16,,,,,,,,,,,
2018-07-17,,,,,,,,,,,
2018-07-18,,,,,,,,,,,
2018-07-19,0.15107004996645604,0.13250144018360088,0.1212879154173486,0.15444820052561875,0.10563256335963737,0.1864227791967881,0.13926256707984364,0.10449895298884708,0.14454192459439524,0.09322827062074845,0.15105149967662138
2018-07-20,0.15099368785199144,0.13266597224022714,0.12129725425582197,0.15417812304168244,0.10610303170931315,0.1862116196882978,0.13954811004920142,0.1057176391842481,0.1480752152587635,0.09462438806198549,0.1459281296205548
2018-07-23,0.14856146668790654,0.12620263494681425,0.11862487812887483,0.1601725677357802,0.10327454125620346,0.1744659563666938,0.13564659880531385,0.10486266304490327,0.15118635399696412,0.09844409025926806,0.144564803273075
2018-07-24,0.14830659253109502,0.1264031383748443,0.11895740741606184,0.1587057105810064,0.10619892218514576,0.16604400592390742,0.1336270588505338,0.10110613293331755,0.1500698553484957,0.09520492936681675,0.14568791913905427
2018-07-25,0.12779738270557287,0.12478330176451517,0.09001943328567291,0.15214845583976322,0.10531960325912398,0.15032929343792287,0.12288886490834117,0.10617065531529231,0.13980769379416141,0.09698380330646635,0.12376671875020455
2018-07-26,0.1432415731854672,0.1260383736547621,0.09057674806871245,0.1511001814008498,0.10513572738253113,0.148869774836634,0.12356405481161052,0.10532216393450684,0.14409076914625538,0.0960488442943782,0.18757552280615547
2018-07-27,0.14861321157979518,0.12033744919393152,0.07635172321218754,0.14117055213330523,0.10354954533992564,0.1436652909587323,0.12384848806327245,0.11009234321578307,0.14413585729604483,0.09515051180505649,0.1971254858686034
2018-07-30,0.15615949519386532,0.12834364148938693,0.07937097100845646,0.13988731376515415,0.10370516321571008,0.14577047629026707,0.12398247202515127,0.10437217036763632,0.14601099812127358,0.09547563707157801,0.20067188882655457
