Date,XLK,XLI,XLY,XLF,XLV,XLE,XLB,XLRE,XLU,XLP,XLC
2018-01-02,27445600,14903900,9791200,55436100,6708900,29782800,17958400,1744200,24540000,20146800,
2018-01-03,22663600,18155000,10638000,56906200,7606500,38599200,9904600,1715100,41615800,17950400,
2018-01-04,21493200,16483000,6914800,62247000,7762500,28613600,8240200,1824100,29943600,15455100,
2018-01-05,19356000,16996200,8588800,37989500,7579300,28408800,9344000,1400200,46832600,15555100,
2018-01-08,13467800,5727500,5340000,44252100,5167300,19558400,9078200,990600,28601000,12891000,
2018-01-09,21212800,8967700,6321800,51418700,6962900,18469000,9511000,1277200,30877400,8357600,
2018-01-10,20815600,11669500,5677800,64670900,10835800,21644000,8440800,2174500,31124000,9663500,
2018-01-11,15775600,9448300,7245400,42361700,4247800,36179000,11642600,1343200,33091000,11500800,
2018-01-12,16308600,7436200,8075600,44537500,5391700,39638400,9097400,1657200,37270600,7308900,
2018-01-16,36443600,13343700,18503200,67563800,8920000,33789800,17025800,5520200,54585600,13806700,
2018-01-17,29376200,7814300,13312200,54312000,7214600,28014800,21698800,1713400,46903200,12549700,
2018-01-18,29845800,7790400,6584600,49247400,7954800,23029200,11787400,2276600,42659400,12423300,
2018-01-19,23894400,8657700,7520800,60727800,4802400,25925400,9866400,1641000,37263800,9962800,
2018-01-22,18004200,12175300,15504600,46868900,11152500,34033400,11438000,2095700,41073000,7871600,
2018-01-23,20460200,8953800,8309800,60862000,7637600,20369800,8043000,1873300,53347800,10908900,
2018-01-24,37019000,9660000,12927600,66371000,8291100,25839400,11488400,2990100,39062800,16603500,
2018-01-25,25951800,12499200,10141600,45423700,6339300,23436800,15536600,2115900,52570000,12144600,
2018-01-26,20097200,8008300,7832600,33871900,9784400,15570600,7762600,1472300,47900000,6342700,
2018-01-29,55179800,12870300,12710400,41037700,12643800,25294400,10662200,2092900,36121800,10760800,
2018-01-30,29662400,16742400,10568200,67316900,14270600,45503600,17635000,2347200,26178200,10898100,
2018-01-31,30135800,15988100,18902200,49504500,15858400,31450600,19825200,4213100,54822800,13757000,
2018-02-01,32650000,14169300,18706800,60824200,12848700,36023200,18972200,3937800,57039200,14094500,
2018-02-02,43929400,17929500,21381400,73086000,10539200,62010800,19349400,3719200,43612800,15569100,
2018-02-05,98559600,30309100,46093000,147871500,34979800,69535200,37141400,7652400,66944600,39487500,
2018-02-06,90269400,31980600,44665000,159006400,33313400,65630400,38680600,6741200,83343200,38881700,
2018-02-07,47425200,22666800,26274000,102699400,17338000,49207400,33502000,10201500,55760400,17526900,
2018-02-08,55628600,27282100,31484000,135270500,20252500,55542200,25600000,10497600,52083800,32928400,
2018-02-09,72700400,40362500,42795200,149504900,35535700,70348200,52835000,9654500,72845000,34912000,
2018-02-12,35629600,20776900,25119000,83571800,13389200,49913800,20940400,5294500,53008800,21013600,
2018-02-13,19084000,12974600,10301600,43365500,8415200,24570000,13552600,3049300,50134400,11994500,
2018-02-14,32117600,13482800,13462600,57379700,10110800,39513800,15999400,4055300,40682200,20370500,
2018-02-15,24305000,10800400,11181600,66976000,9519100,32938800,12298200,2924100,33008200,14788900,
2018-02-16,20334200,11161700,9497200,47508200,9323000,27582200,16917000,7702800,40133000,11591600,
2018-02-20,33835200,11838900,11751400,58236100,8872100,35616200,10487400,12237200,33546600,16069800,
2018-02-21,29102400,8650500,9906200,44578800,9417400,25090800,9994600,3924000,44922800,15207400,
